Timestamp,Country,Current online courses,Preffered online courses,Enjoy online,Motivated online,Satisfied online,Engaging online,Distracted online,Actions online,Enjoy offline,Motivated offline,Satisfied offline,Engaging offline,Distracted offline,Actions online,Preferred course
5/21/2020 15:26:01,Australia,Recorded Lectures,Recorded Lectures/Videos,3,4,4,4,4,4,4,4,4,4,2,3,Online Courses
5/21/2020 15:58:49,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",2,1,3,3,4,3,4,4,4,3,4,4,In-person Courses
5/21/2020 16:35:01,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",1,1,2,1,5,3,4,5,5,5,2,4,In-person Courses
5/21/2020 16:39:18,Australia,Recorded Lectures,Recorded Lectures/Videos,4,3,4,4,4,2,4,4,4,4,2,2,Online Courses
5/21/2020 16:39:43,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,4,4,4,2,5,5,4,4,4,2,4,In-person Courses
5/21/2020 16:49:15,Australia,Recorded Lectures,Recorded Lectures/Videos,4,2,3,3,4,1,4,4,4,4,2,4,Online Courses
5/21/2020 16:55:06,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,3,4,5,3,2,5,5,5,5,2,3,In-person Courses
5/21/2020 16:55:54,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,2,3,3,5,2,4,4,4,4,4,1,In-person Courses
5/21/2020 17:13:56,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,2,4,3,5,4,5,5,4,4,2,2,In-person Courses
5/21/2020 17:15:35,Australia,Recorded Lectures,Recorded Lectures/Videos,2,2,4,4,5,5,5,5,5,5,2,5,In-person Courses
5/21/2020 17:29:42,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",1,4,2,4,5,1,5,4,5,5,1,5,In-person Courses
5/21/2020 17:42:15,Australia,Recorded Lectures,Recorded Lectures/Videos,3,2,4,4,5,4,4,4,3,3,2,4,In-person Courses
5/21/2020 17:45:25,Australia,Recorded Lectures,Recorded Lectures/Videos,3,2,3,3,5,2,5,5,4,4,3,3,In-person Courses
5/21/2020 17:48:24,Australia,Recorded Lectures,Recorded Lectures/Videos,4,4,4,4,4,2,4,4,3,4,3,3,Online Courses
5/21/2020 17:48:31,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",2,2,2,2,3,4,5,5,5,4,2,4,In-person Courses
5/21/2020 17:52:30,Australia,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,3,2,1,4,3,5,4,4,3,3,5,In-person Courses
